Source,Destination,Protocol,Length
192.168.248.21,46.40.84.222,TCP,62
192.168.248.21,186.157.21.111,TCP,62
192.168.248.21,178.76.100.113,TCP,62
192.168.248.21,85.92.239.108,TCP,62
192.168.248.21,41.70.153.25,TCP,62
192.168.248.21,77.77.245.215,TCP,62
192.168.248.21,14.96.213.41,TCP,62
192.168.248.21,178.19.22.191,TCP,62
192.168.248.21,201.164.198.244,TCP,62
178.19.22.191,192.168.248.21,TCP,62
192.168.248.21,93.113.88.91,TCP,62
192.168.248.21,178.19.22.191,TCP,54
192.168.248.21,178.19.22.191,TCP,74
14.96.213.41,192.168.248.21,TCP,60
178.19.22.191,192.168.248.21,TCP,1506
178.19.22.191,192.168.248.21,TCP,738
192.168.248.21,178.19.22.191,TCP,54
178.19.22.191,192.168.248.21,TCP,60
192.168.248.21,178.19.22.191,TCP,54
192.168.248.21,178.19.22.191,TCP,54
192.168.248.21,14.96.213.41,TCP,62
186.157.21.111,192.168.248.21,TCP,60
178.19.22.191,192.168.248.21,TCP,60
178.19.22.191,192.168.248.21,TCP,60
14.96.213.41,192.168.248.21,TCP,60
192.168.248.21,186.157.21.111,TCP,62
192.168.248.21,186.98.183.23,TCP,62
192.168.248.21,14.96.213.41,TCP,62
186.157.21.111,192.168.248.21,TCP,60
14.96.213.41,192.168.248.21,TCP,60
192.168.248.21,72.216.6.89,TCP,62
192.168.248.21,186.157.21.111,TCP,62
192.168.248.21,178.76.100.113,TCP,62
192.168.248.21,85.92.239.108,TCP,62
192.168.248.21,41.70.153.25,TCP,62
192.168.248.21,77.77.245.215,TCP,62
192.168.248.21,201.164.198.244,TCP,62
186.157.21.111,192.168.248.21,TCP,60
192.168.248.21,91.218.169.218,TCP,62
192.168.248.21,93.113.88.91,TCP,62
91.218.169.218,192.168.248.21,TCP,60
192.168.248.21,91.218.169.218,TCP,62
91.218.169.218,192.168.248.21,TCP,60
192.168.248.21,186.98.183.23,TCP,62
192.168.248.21,91.218.169.218,TCP,62
192.168.248.21,72.216.6.89,TCP,62
91.218.169.218,192.168.248.21,TCP,60
192.168.248.21,72.200.29.195,TCP,62
192.168.248.21,197.177.23.39,TCP,62
192.168.248.21,72.200.29.195,TCP,62
192.168.248.21,178.76.100.113,TCP,62
192.168.248.21,85.92.239.108,TCP,62
192.168.248.21,41.70.153.25,TCP,62
192.168.248.21,77.77.245.215,TCP,62
192.168.248.21,201.164.198.244,TCP,62
192.168.248.21,93.113.88.91,TCP,62
197.177.23.39,192.168.248.21,TCP,60
192.168.248.21,197.177.23.39,TCP,62
192.168.248.21,186.98.183.23,TCP,62
192.168.248.21,72.216.6.89,TCP,62
197.177.23.39,192.168.248.21,TCP,60
192.168.248.21,197.177.23.39,TCP,62
197.177.23.39,192.168.248.21,TCP,60
192.168.248.21,140.112.251.82,TCP,62
140.112.251.82,192.168.248.21,TCP,62
192.168.248.21,188.158.144.76,TCP,62
192.168.248.21,140.112.251.82,TCP,54
192.168.248.21,140.112.251.82,TCP,74
140.112.251.82,192.168.248.21,TCP,1506
140.112.251.82,192.168.248.21,TCP,738
192.168.248.21,140.112.251.82,TCP,54
140.112.251.82,192.168.248.21,TCP,60
192.168.248.21,140.112.251.82,TCP,54
192.168.248.21,140.112.251.82,TCP,54
140.112.251.82,192.168.248.21,TCP,60
140.112.251.82,192.168.248.21,TCP,60
192.168.248.21,72.200.29.195,TCP,62
192.168.248.21,188.158.144.76,TCP,62
192.168.248.21,88.11.127.0,TCP,62
88.11.127.0,192.168.248.21,TCP,60
192.168.248.21,85.9.126.151,TCP,62
192.168.248.21,68.188.164.247,TCP,62
192.168.248.21,190.200.208.153,TCP,62
192.168.248.21,178.206.166.32,TCP,62
192.168.248.21,95.58.228.90,TCP,62
192.168.248.21,88.11.127.0,TCP,62
95.58.228.90,192.168.248.21,TCP,60
88.11.127.0,192.168.248.21,TCP,60
192.168.248.21,95.58.228.90,TCP,62
192.168.248.21,188.158.144.76,TCP,62
192.168.248.21,88.11.127.0,TCP,62
95.58.228.90,192.168.248.21,TCP,60
88.11.127.0,192.168.248.21,TCP,60
192.168.248.21,41.82.197.81,TCP,62
192.168.248.21,190.105.102.181,TCP,62
192.168.248.21,95.58.228.90,TCP,62
95.58.228.90,192.168.248.21,TCP,60
192.168.248.21,190.205.146.45,TCP,62
192.168.248.21,87.247.42.122,TCP,62
192.168.248.21,85.9.126.151,TCP,62
192.168.248.21,68.188.164.247,TCP,62
192.168.248.21,190.200.208.153,TCP,62
192.168.248.21,178.206.166.32,TCP,62
192.168.248.21,41.82.197.81,TCP,62
192.168.248.21,190.105.102.181,TCP,62
192.168.248.21,190.205.146.45,TCP,62
192.168.248.21,87.247.42.122,TCP,62
192.168.248.21,2.133.223.142,TCP,62
192.168.248.21,2.133.223.142,TCP,62
192.168.248.21,85.9.126.151,TCP,62
192.168.248.21,68.188.164.247,TCP,62
192.168.248.21,190.200.208.153,TCP,62
192.168.248.21,178.206.166.32,TCP,62
192.168.248.21,41.82.197.81,TCP,62
192.168.248.21,190.105.102.181,TCP,62
192.168.248.21,190.205.146.45,TCP,62
192.168.248.21,87.247.42.122,TCP,62
192.168.248.21,177.117.244.4,TCP,62
192.168.248.21,2.133.223.142,TCP,62
192.168.248.21,177.117.244.4,TCP,62
192.168.248.21,188.24.207.62,TCP,62
192.168.248.21,82.114.177.36,TCP,62
